project_id,project_title,award_amount_m,award_holder_name,hrcs_health_category,inpmceurope,trialscientific,trialpubtype,trialidtype
07/89/01,"FIAT (Fistula-in-ano trial) comparing Surgisis® anal fistula plug versus surgeon's preference (advancement flap, fistulotomy, cutting seton) for transsphincteric fistula-in-ano",1.56692791,Professor David Jayne,Oral and Gastrointestinal,TRUE,TRUE,TRUE,FALSE
08/107/01,The REPOSE (Relative Effectiveness of Pumps Over MDI and Structured Education) Trial,1.8462543,Professor Simon Heller,Metabolic and Endocrine,TRUE,TRUE,TRUE,FALSE
08/116/10,United Kingdom Oscillation Study: Long-term outcomes at follow up of two modes of neonatal ventilation,0.61171303,Professor Anne Greenough,Respiratory,TRUE,TRUE,TRUE,FALSE
08/116/300,Anglo-Danish-Dutch study of Intensive Treatment of people with Newly diagnosed diabetes in primary care (ADDITION) - effects on cardiovascular events at five years,0.4949242,Professor Simon Griffin,"Cardiovascular,Metabolic and Endocrine",TRUE,FALSE,TRUE,TRUE
08/116/75,SWITCH - Randomised- controlled trial of switching to alternative tumour necrosis factor-blocking drugs or abatacept or rituximab in patients with rheumatoid arthritis who have failed an initial TNF-blocking drug,1.12737198,Professor Maya Buch,Inflammatory and Immune System,TRUE,TRUE,TRUE,TRUE
08/116/48,Vitamin D and Longevity (ViDAL) trial - randomised feasibility study,0.92726673,Professor Julian Peto,Generic Health Relevance,TRUE,TRUE,TRUE,TRUE
08/116/97,A randomised controlled trial of percutaneous fixation with Kirschner wires versus volar locking-plate fixation in the treatment of adult patients with a displaced fracture of the distal radius,1.3004988700000002,Professor Matthew Costa,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
08/13/24,Probiotics for Antibiotic Associated Diarrhoea (including clostridium difficile) in care homes: establishing the platform and a randomised controlled trial (The PAAD Study),0.85539288,Professor Christopher Butler,Oral and Gastrointestinal,TRUE,TRUE,TRUE,FALSE
08/14/03,The CLOTS 3 trial: a randomised controlled trial to determine whether intermittent pneumatic compression reduces the risk of post stroke deep vein thrombosis.,1.91009524,Professor Martin Dennis,"Blood,Cardiovascular",TRUE,TRUE,TRUE,FALSE
08/14/19,A randomised controlled trial to measure the effects and costs of a dental caries prevention regime for young children attending primary care dental services,1.48971867,Professor Martin Tickle,Disputed aetiology and other,TRUE,TRUE,TRUE,TRUE
08/13/38,A pilot randomised control trial comparing seven days versus two days of empirical antibiotics to treat hospital acquired infection of unknown origin in intensive care patients,0.154489,Dr Nigel Scawn,Infection,TRUE,TRUE,TRUE,FALSE
08/14/44,"The clinical effectiveness and cost-effectiveness of STeroids or Pentoxifylline for Alcoholic Hepatitis (STOPAH): a 2x2 factorial, randomised controlled trial",1.98507981,Professor Mark Thursz,Oral and Gastrointestinal,TRUE,TRUE,TRUE,TRUE
08/14/30,A cluster randomised controlled trial of an occupational therapy intervention for residents with stroke living in UK care-homes,1.7976760900000002,Professor Cath Sackley,Stroke,TRUE,TRUE,TRUE,FALSE
08/53/06,Psychoeducation with problem solving (PEPS) therapy for adults with personality disorder:  A pragmatic randomised controlled trial to determine the clinical effectiveness and cost-effectiveness of a manualised intervention to improve social functioning,1.50071897,Professor Mary McMurran,Mental Health,TRUE,TRUE,TRUE,FALSE
08/53/25,"Paediatric European Network for the Treatment of AIDS (PENTA)
PENTA 16 Trial: Short-Cycle Therapy (SCT) (5 days on/2 days off) in young people with chronic HIV-infection",0.51021123,Professor Diana Gibb,Infection,TRUE,TRUE,TRUE,TRUE
08/53/33,The impact of continuous haemofiltration with high volume fluid exchange during cardiopulmonary bypass surgery on the recovery of patients with impaired renal function- A pilot study,0.1848342,Dr Bashir Matata,"Renal and Urogenital,Cardiovascular",TRUE,TRUE,TRUE,FALSE
08/56/04,Plasma exchange and glucocorticoids in anti-neutrophil cytoplasm antibody associated systemic vasculitis: a randomized controlled trial. PEXIVAS,1.6662405,Professor David Jayne,Cardiovascular,TRUE,FALSE,TRUE,TRUE
08/24/02,A pragmatic multicentre randomised controlled trial comparing stapled haemorrhoidopexy to conventional excisional surgery for haemorrhoidal disease.,1.25632807,Professor Angus Watson,"Oral and Gastrointestinal,Skin",TRUE,TRUE,TRUE,FALSE
08/71/01,Use of drug therapy in the management of symptomatic ureteric stones in hospitalised adults: multicentre placebo controlled randomised trial of calcium channel blockers (nifedipine) and alpha blockers (tamsulosin) - The SUSPEND trial,1.28341221,Professor Samuel McClinton,Renal and Urogenital,TRUE,TRUE,TRUE,TRUE
08/53/22,FEMME trial: Randomised trial of treating Fibroids with either Embolisation or MyoMectomy to measure the Effect on quality of life,1.50255642,Honorary Professor Klim McPherson,Renal and Urogenital,TRUE,TRUE,TRUE,FALSE
08/53/36,Clopidogrel compared to Aspirin in Chronic HEart failure (CACHE),0.5014844,Professor John Cleland,Cardiovascular,TRUE,TRUE,FALSE,FALSE
08/56/01,The effectiveness and cost-effectiveness of mindfulness-based cognitive therapy compared with maintenance antidepressant treatment in the prevention of depressive relapse/recurrence: results of a randomised controlled trial (the PREVENT study),1.77789852,Professor Willem Kuyken,Mental Health,TRUE,FALSE,TRUE,TRUE
09/104/21,"The Stroke Oxygen Study (SO2S): A multi-centre, prospective, randomised, open, blinded-endpoint study to assess whether routine oxygen supplementation (ROS) in the first 72 hours after a stroke improves long-term outcome",1.39007402,Professor Christine Roffe,Stroke,TRUE,FALSE,TRUE,TRUE
09/01/53,Evaluation of lightweight fibreglass heel casts in the management of ulcers of the heel in diabetes,1.29038831,Professor William Jeffcoate,Blood,TRUE,TRUE,TRUE,FALSE
09/110/01,A randomised trial of nicotine patch preloading for smoking cessation,2.17794941,Professor Paul Aveyard,Mental Health,TRUE,TRUE,TRUE,TRUE
09/127/07,"Systematic review to identify and appraise outcome measures used to evaluate childhood obesity treatment interventions: evidence of purpose, application, validity, reliability and sensitivity",0.17013,Professor Maria Bryant,"Cancer and neoplasms,Cardiovascular,Metabolic and Endocrine,Oral and Gastrointestinal,Stroke",TRUE,TRUE,FALSE,FALSE
09/127/19,Positive Online WEight Reduction (POWER),1.0415725,Professor Paul Little,"Cardiovascular,Cancer and neoplasms,Metabolic and Endocrine,Oral and Gastrointestinal,Stroke",TRUE,TRUE,TRUE,FALSE
09/14/02,Systematic review and economic modelling of the relative clinical benefit and cost-effectiveness of laparoscopic surgery and robotic surgery for removal of the prostate in men with localised prostate cancer,0.22719517,Professor Craig Ramsay,Cancer and neoplasms,TRUE,TRUE,FALSE,FALSE
09/144/51,The Age of Blood Evaluation Study (ABLE),1.326846,Professor Timothy Walsh,Blood,TRUE,TRUE,TRUE,FALSE
09/169/07,The feasibility of using a manualised Social Stories training toolkit to alleviate challenging behaviour and social difficulties exhibited by children with Autism Spectrum Disorder in mainstream schools: a cluster randomised controlled trial with nested qualitative and cost-effectiveness study,0.509776,Professor Barry Wright,Mental Health,TRUE,TRUE,TRUE,FALSE
09/104/16,Double blind randomised controlled trial of percutaneous tibial nerve stimulation vs sham electrical stimulation in the treatment of faecal incontinence: CONtrol of Faecal Incontinence using Distal NeuromodulaTion  (The CONFIDeNT Trial),0.47138947,Professor Charles Knowles,Oral and Gastrointestinal,TRUE,TRUE,TRUE,FALSE
09/127/53,BY-BAND. Gastric BYpass or adjustable gastric BANDing surgery to treat morbid obesity: a multi-centre randomised controlled trial,4.12347628,Professor Jane Blazeby,"Metabolic and Endocrine,Oral and Gastrointestinal,Cancer and neoplasms,Cardiovascular,Stroke",TRUE,TRUE,TRUE,TRUE
09/161/01,Evaluating longer term outcomes of NHS stop smoking services,0.81995238,Professor Linda Bauld,"Cardiovascular,Stroke,Cancer and neoplasms,Respiratory",TRUE,FALSE,FALSE,FALSE
09/55/33,A Randomised Controlled Trial In Patients With Respiratory Muscle Weakness Due to Motor Neurone Disease of the NeuRx RA/4 Diaphragm Pacing System (DiPALS),0.89131327,Professor Christopher McDermott,Neurological,TRUE,TRUE,TRUE,FALSE
09/70/04,"STRIDE - Strategies To increase confidence, InDependence and Energy. Cognitive behavioural therapy-based intervention to reduce fear of falling in older fallers attending a community falls service: Therapy development and randomised controlled trial",0.83359122,Dr Steve Parry,"Injuries and Accidents,Mental Health",TRUE,TRUE,TRUE,FALSE
09/33/02,CanTalk: the clinical and cost effectiveness of CBT plus treatment as usual for the treatment of depression in advanced cancer; a randomised controlled trial,1.58709062,Professor Marc Serfaty,"Cancer and neoplasms,Mental Health",TRUE,TRUE,TRUE,FALSE
09/51/01,"Phase III randomised controlled trial of the clinical effectiveness, safety and cost effectiveness of adalimumab for the  treatment of juvenile idiopathic arthritis associated uveitis",0.58050896,Professor Athimalaipet Ramanan,"Eye,Inflammatory and Immune System",TRUE,TRUE,TRUE,TRUE
09/55/52,Helicobacter eradication to prevent ulcer bleeding in aspirin users: a large simple randomised controlled trial (HEAT),2.53311974,Professor Chris Hawkey,"Oral and Gastrointestinal,Infection",TRUE,TRUE,TRUE,TRUE
09/55/63,The United Kingdom Transcatheter Aortic Valve Implantation (UK TAVI) Trial,3.15691,Professor William Toff,Cardiovascular,TRUE,TRUE,TRUE,FALSE
09/77/01,Randomised trial of a multifaceted podiatry intervention for fall prevention,1.21267891,Professor David Torgerson,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
09/78/01,Allergen immunotherapy in adults and children with severe hay fever: systematic review of effectiveness and economic modelling,0.09969437,Ms Janine Dretzke,Inflammatory and Immune System,TRUE,FALSE,FALSE,FALSE
09/80/04,Physical activity programmes for community dwelling people with mild to moderate dementia (DAPA - Dementia And Physical Activity),1.70599807,Professor Sarah Lamb,Neurological,TRUE,TRUE,TRUE,FALSE
10/103/01,The clinical and cost effectiveness of lamotrigine for people with borderline personality disorder: Randomised controlled trial,1.57883099,Professor Mike Crawford,Mental Health,TRUE,TRUE,TRUE,FALSE
09/85/01,Virus shedding and environmental deposition of novel A(H1N1) pandemic influenza virus,0.2491219,Professor Jonathan Nguyen-Van-Tam,Respiratory,TRUE,FALSE,FALSE,FALSE
10/104/20,ANti-psychotic Drug REduction in primary care for Adults with Learning Disabilities (ANDREA-LD): A Randomised Double-blind Placebo Controlled Trial,1.00755023,Professor Michael Kerr,Mental Health,TRUE,TRUE,TRUE,FALSE
09/91/16,"Bronchiolitis of Infancy Discharge Study (BIDS): a multi-centre, parallel-group, double blind, randomised controlled, equivalence study with economic evaluation",0.5074222700000001,Professor Steve Cunningham,Respiratory,TRUE,TRUE,TRUE,FALSE
10/104/30,The British Antibiotic and Silver Impregnated Catheters for ventriculoperitoneal Shunts multi-centre randomised controlled trial (The BASICS trial),2.1798629,Honorary Professor Conor Mallucci,Neurological,TRUE,TRUE,TRUE,FALSE
09/91/21,"A Randomised Multi-Stage Phase II/III Trial of Standard first-line therapy (sunitinib or pazopanib) Comparing Temporary Cessation with Allowing continuation, at the Time of Maximal Radiological Response, in the treatment of locally advanced and/or metastatic Renal Cancer (the STAR trial)",2.471101,Professor Janet Brown,Cancer and neoplasms,TRUE,TRUE,TRUE,TRUE
10/104/34,BEAT-IT:  A randomised controlled trial comparing a behavioural activation treatment for depression in adults with learning disabilities with an attention control.,1.19114822,Professor Andrew Jahoda,Mental Health,TRUE,TRUE,TRUE,FALSE
09/91/22,"SABRE: HYPERTONIC SALINE IN ACUTE BRONCHIOLITIS: RANDOMISED CONTROLLED TRIAL, ECONOMIC EVALUATION, SYSTEMATIC REVIEW AND META-ANALYSIS",0.8586139,Dr Kelechi Ugonna,Respiratory,TRUE,TRUE,TRUE,TRUE
10/124/01,Which children with otitis media with effusion benefit most from adenoidectomy with or without grommets (ventilation tubes)? An individual patient data meta-analysis,0.06349175,Professor Martin Burton,Ear,FALSE,TRUE,FALSE,FALSE
10/145/01,A feasibility study to inform the design of a randomised controlled trial to identify the most clinically and cost effective length of Anticoagulation with Low molecular weight heparin In the treatment of Cancer Associated Thrombosis (ALICAT),0.42001674,Professor Simon Noble,"Cancer and neoplasms,Cardiovascular",TRUE,TRUE,TRUE,TRUE
10/146/01,Duration of INtravenous antibiOtic therapy for Septic Arthritis or acUte osteomyelitis in a paediatRic population – DINOSAUR.,0.17940619,Professor Saul Faust,Infection,TRUE,TRUE,FALSE,FALSE
10/38/03,Active Treatment for Idiopathic Adolescent Scoliosis (ACTIvATeS) – A feasibility study,0.32790044,Professor Sarah Lamb,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
10/104/06,Preoperative intravenous iron to PREVENT blood Transfusion in major surgery (PREVENTT),2.05603487,Professor Toby Richards,"Generic Health Relevance,Blood",TRUE,TRUE,TRUE,TRUE
10/55/01,Repeated measures analysis of data from the MS risk sharing scheme,0.05143537999999999,Professor Kate Tilling,Neurological,TRUE,FALSE,FALSE,FALSE
10/104/13,Clinical and cost effectiveness of staff training in Positive Behaviour Support (PBS) for treating challenging behaviour among people with learning disability: a multicentre cluster randomised controlled trial,1.3463127,Professor Angela Hassiotis,Mental Health,TRUE,TRUE,TRUE,TRUE
10/57/21,A Randomised Controlled Trial of the Effectiveness of PDSAFE to prevent Falls among People with Parkinson's Disease,1.9380515,Professor Ann Ashburn,"Neurological,Injuries and Accidents",TRUE,TRUE,TRUE,TRUE
10/104/24,Safety and efficacy of Triple Antiplatelets for Reducing Dependency after Ischaemic Stroke: the TARDIS randomised controlled trial,2.47622304,Professor Philip Bath,Stroke,TRUE,TRUE,TRUE,TRUE
10/57/24,Rehabilitation of Memory following Traumatic Brain Injury - a Phase III Randomised Controlled Trial,1.13085391,Professor Roshan das Nair,"Mental Health,Neurological",TRUE,TRUE,TRUE,FALSE
10/104/25,"Adjunctive Rifampicin to Reduce Early mortality from Staphylococcus aureus bacteraemia: a multi-centre, randomised, double blind, placebo controlled trial (the ARREST trial)",1.30471909,Professor Guy Thwaites,Infection,TRUE,TRUE,TRUE,TRUE
10/57/32,A randomised controlled trial of intra-operative cell salvage during caesarean section in women at risk of haemorrhage.,1.77881573,Professor Khalid Saeed Khan,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,FALSE
10/57/46,"A multi-centre, randomised controlled trial comparing rubber band ligation with haemorrhoidal artery ligation in the management of symptomatic second and third degree haemorrhoids: The HubBLe Trial: Halo versus rubber Band Ligation for haemorrhoids",0.92974644,Professor Steven Brown,Cardiovascular,TRUE,TRUE,TRUE,FALSE
10/131/01,The MenSS (Men's Safer Sex) website to increase condom use: intervention development and pilot trial,0.50153702,Dr Julia Bailey,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,FALSE
10/136/01,Ablative therapy for people with localised prostate cancer: a systematic review and economic evaluation,0.28102898,Professor Craig Ramsay,Cancer and neoplasms,TRUE,TRUE,FALSE,FALSE
10/137/01,"Therapeutic Interventions for Stones of the Ureter (TISU): a multicentre randomised controlled trial of extracorporeal shockwave lithotripsy, as first treatment option, compared with direct progression to ureteroscopic retrieval, for ureteric stones.",1.2150402,Professor Samuel McClinton,Renal and Urogenital,TRUE,TRUE,TRUE,FALSE
10/140/02,Non pharmacological interventions for Attention-Deficit/Hyperactivity Disorder (ADHD) delivered in school settings: a systematic review of quantitative and qualitative research,0.31562049,Professor Tamsin Ford,Mental Health,TRUE,FALSE,TRUE,FALSE
10/143/01,"The clinical and cost-effectiveness of temporarily quadrupling the dose of inhaled steroid to prevent asthma exacerbations; a pragmatic, randomised, normal care-controlled, clinical trial",1.687347,Professor Timothy Harrison,Respiratory,TRUE,TRUE,TRUE,FALSE
10/69/05,Evaluating Acupuncture and Standard care for pregnant women with Back pain (EASE Back): a feasibility study and pilot randomised trial,0.22495,Professor Nadine Foster,"Musculoskeletal,Reproductive Health and Childbirth",TRUE,TRUE,TRUE,FALSE
10/71/01,Does oral sodium bicarbonate therapy improve function and quality of life in older patients with chronic kidney disease and low-grade acidosis? A multicentre randomized placebo controlled trial,1.2183481,Professor Miles Witham,Renal and Urogenital,TRUE,TRUE,TRUE,TRUE
10/41/02,UK FASHIoN: Feasibility study of a randomised controlled trial of arthroscopic surgery for hip impingement compared with best conservative care,0.235618,Professor Damian Griffin,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
10/50/14,COBRA (Cost and Outcome of BehaviouRal Activation): a Randomised Controlled Trial of Behavioural Activation versus Cognitive Behaviour Therapy for Depression,1.79834417,Professor David Richards,Mental Health,TRUE,TRUE,TRUE,FALSE
10/50/49,Palliative radiotherapy in addition to self-expanding metal stent for improving outcomes of dysphagia and survival in advanced oesophageal cancer: ROCS (Radiotherapy after Oesophageal Cancer Stenting) Study,1.67750307,Dr Douglas Adamson,Cancer and neoplasms,TRUE,TRUE,TRUE,TRUE
10/57/20,A randomised controlled trial of standard-of-care wound management versus negative pressure wound therapy in the treatment of adult patients with an open fracture of the lower limb,2.04796249,Professor Matthew Costa,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
10/57/43,The CASPER-PLUS Trial: Collaborative care for screen-positive elders with Major Depressive Disorder,0.87081782,Professor Simon Gilbody,Mental Health,TRUE,TRUE,TRUE,TRUE
11/129/16,Does vertebral stenting prevent recurrent stroke in symptomatic vertebral artery stenosis: The Vertebral artery Ischaemia Stenting Trial (VIST),0.38058297,Professor Hugh Markus,Stroke,TRUE,TRUE,TRUE,FALSE
11/129/183,Vault or Uterine prolapse surgery Evaluation – two parallel randomised controlled trials of surgical options for upper compartment (uterine or vault) pelvic organ prolapse (VUE),2.16372829,Dr Christine Hemming,Reproductive Health and Childbirth,TRUE,TRUE,TRUE,FALSE
10/98/05,The effects of a comprehensive physiotherapy intervention for adults with joint hypermobility,0.35324289000000003,Professor Shea Palmer,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
10/99/01,Physiotherapy Rehabilitation for Osteoporotic VErtebral fracture trial (PROVE),1.3096096499999998,Professor Karen Barker,Musculoskeletal,TRUE,TRUE,TRUE,FALSE
11/129/245,Assessing the Effectiveness of Imaging Technology to Rapidly Detect Disease Progression in Glaucoma,0.2793627808,Professor David Garway-Heath,Eye,TRUE,TRUE,TRUE,FALSE
11/129/261,Short course daily prednisolone therapy at the time of upper respiratory tract infection in children with relapsing steroid sensitive nephrotic syndrome; the PREDNOS 2 study.,1.02306447,Dr Martin Christian,Renal and Urogenital,TRUE,TRUE,TRUE,TRUE
11/136/04,"For patients with a displaced fracture of the distal tibia, is there a clinical and cost-effectiveness difference between ‘locking’ plate fixation and intramedullary nail fixation? (FixDT)",1.297692,Professor Matthew Costa,Injuries and Accidents,TRUE,TRUE,TRUE,FALSE
